Timing:;Implementatie 1;Implementatie 2;;;
generation_time;0.000802;0.001037;;;
;0.000599;0.000687;;;
;0.000599;0.000688;;;
;0.000388;0.000713;;;
;0.000594;0.00069;;;
;0.000593;0.000556;;;
;0.000589;0.000564;;;
;0.00059;0.000692;;;
;0.000585;0.000562;;;
;0.000594;0.00052;;;
;0.000592;0.000539;;;
;0.000586;0.000531;;;
;0.000592;0.000518;;;
;0.000589;0.000728;;;
;0.000587;0.000739;;;
;0.000615;0.000757;;;
;0.000585;0.000766;;;
;0.000588;0.000779;;;
;0.000286;0.000718;;;
;0.000578;0.000743;;;
;0.000584;0.00075;;;
;0.000581;0.000767;;;
;0.000585;0.000752;;;
;0.000288;0.00057;;;
;0.00058;0.000567;;;
;0.000588;0.000579;;;
;0.000585;0.000565;;;
;0.000609;0.000603;;;
;0.000587;0.000514;;;
;0.000583;0.000538;;;"Tijdswinst wordt veroorzaakt door overschakelen van synchroon naar asynchroon, maar vooral door verwijderen onnodige ""cudaDeviceSynchronize();"" want eigenlijk gebeurt er niet zo veel extra asynchroon."
;0.000587;0.000784;;;Het asynchroon maken is wel een voordeel indien je deze implementatie verder zou willen combineren in een groter programma waar meer zaken geparralleliseerd kunnen worden.
;0.000587;0.000476;;;
;0.00057;0.000487;;;
;0.000592;0.001407;;;
;0.00059;0.000459;;;
;0.000595;0.000476;;;
;0.000604;0.000474;;;
;0.001263;0.000471;;;
;0.000595;0.000554;;;
;0.000591;0.000596;;;
;0.000606;0.0006;;;
;0.000602;0.000607;;;
;0.00029;0.000587;;;
;0.000588;0.000506;;;
;0.00059;0.000478;;;
;0.000596;0.000518;;;
;0.000593;0.000523;;;
;0.000593;0.000492;;;
;0.000589;0.00047;;;
;0.000626;0.000475;;;
;0.00062;0.000473;;;
;0.000593;0.000475;;;
;0.000593;0.000474;;;
;0.000592;0.000475;;;
;0.00059;0.000472;;;
;0.000593;0.000499;;;
;0.000583;0.001934;;;
;0.000594;0.00052;;;
;0.001379;0.003469;;;
;0.00405;0.000251;;;
;0.000593;0.000248;;;
;0.000597;0.000248;;;
;0.000593;0.000244;;;
;0.000292;0.00028;;;
;0.0006;0.000296;;;
;0.000611;0.000282;;;
;0.000596;0.000281;;;
;0.000604;0.000269;;;
;0.000591;0.000278;;;
;0.000588;0.000287;;;
;0.000606;0.00028;;;
;0.000583;0.000325;;;
;0.000566;0.000342;;;
;0.000595;0.000342;;;
;0.000616;0.000341;;;
;0.000593;0.000342;;;
;0.000591;0.000331;;;
;0.000605;0.000338;;;
;0.000589;0.000336;;;
;0.000295;0.000356;;;
;0.000905;0.000345;;;
;0.000565;0.000337;;;
;0.000585;0.000339;;;
;0.000288;0.000331;;;
;0.000576;0.000341;;;
;0.000609;0.000339;;;
;0.000586;0.000328;;;
;0.000566;0.000338;;;
;0.000592;0.000338;;;
;0.000587;0.000339;;;
;0.000582;0.00033;;;
;0.000603;0.000332;;;
;0.000586;0.001875;;;
;0.000581;0.00047;;;
;0.000583;0.00039;;;
;0.000585;0.002725;;;
;0.000588;0.000774;;;
;0.000584;0.000275;;;
;0.000581;0.000275;;;
;0.000571;0.000274;;;
;0.000585;0.0003;;;
;0.000609;0.000297;;;
;0.000587;0.000303;;;
;0.000587;0.000325;;;
;0.000584;0.000345;;;
;0.000586;0.000285;;;
;0.000589;0.000275;;;
;0.000584;0.000274;;;
;0.000585;0.000275;;;
;0.000588;0.000273;;;
;0.000588;0.000273;;;
;0.000613;0.000274;;;
;0.000587;0.000278;;;
;0.000597;0.000276;;;
;0.000591;0.000272;;;
;0.00127;0.000281;;;
;0.000594;0.00028;;;
;0.000592;0.000278;;;
;0.00059;0.000275;;;
;0.00059;0.000273;;;
;0.000569;0.000296;;;
;0.00029;0.000277;;;
;0.000583;0.000272;;;
;0.000607;0.000273;;;
;0.000291;0.000275;;;
;0.000595;0.000278;;;
;0.000589;0.000274;;;
;0.00059;0.000276;;;
;0.000593;0.000274;;;
;0.000589;0.000284;;;
;0.000627;0.000282;;;
;0.000294;0.000275;;;
;0.000606;0.000272;;;
;0.000586;0.002582;;;
;0.000589;0.002604;;;
;0.001406;0.000275;;;
;0.003994;0.000237;;;
;0.000591;0.000236;;;
;0.000604;0.000238;;;
;0.000589;0.000237;;;
;0.000589;0.000236;;;
;0.000607;0.000302;;;
;0.000603;0.000269;;;
;0.000262;0.000287;;;
;0.000253;0.00028;;;
;0.000248;0.000281;;;
;0.000245;0.000277;;;
;0.000245;0.000279;;;
;0.000256;0.000278;;;
;0.000246;0.00028;;;
;0.000244;0.000278;;;
;0.000246;0.000275;;;
;0.000251;0.000281;;;
;0.000246;0.000277;;;
;0.00025;0.00028;;;
;0.00025;0.000289;;;
;0.000246;0.000282;;;
;0.00056;0.000281;;;
;0.00025;0.000276;;;
;0.000249;0.000278;;;
;0.000245;0.000276;;;
;0.000248;0.00028;;;
;0.00025;0.000275;;;
;0.000246;0.000277;;;
;0.000248;0.000279;;;
;0.000249;0.000276;;;
;0.000253;0.000274;;;
;0.000244;0.000278;;;
;0.000246;0.000278;;;
;0.000266;0.000278;;;
;0.000601;0.000256;;;
;0.000562;0.000248;;;
;0.000579;0.000243;;;
;0.000599;0.000243;;;
;0.000577;0.000247;;;
;0.000585;0.000248;;;
;0.000581;0.001461;;;
;0.000555;0.000901;;;
;0.000247;0.000261;;;
;0.000247;0.000276;;;
;0.000249;0.002771;;;
;0.000243;0.000279;;;
;0.000242;0.000276;;;
;0.000244;0.000261;;;
;0.000247;0.000248;;;
;0.000243;0.000249;;;
;0.000605;0.000245;;;
;0.000606;0.000244;;;
;0.000583;0.000246;;;
;0.000246;0.000283;;;
;0.00025;0.00028;;;
;0.000246;0.000276;;;
;0.000246;0.000246;;;
;0.000246;0.000247;;;
;0.00025;0.000245;;;
;0.000243;0.000245;;;
;0.00025;0.000278;;;
;0.000244;0.000274;;;
;0.000246;0.000268;;;
;0.000246;0.000251;;;
;0.000251;0.000245;;;
;0.000246;0.000245;;;
;0.000246;0.000255;;;
;0.000245;0.000248;;;
;0.000557;0.000278;;;
;0.000245;0.000273;;;
;0.000245;0.000281;;;
;0.00025;0.000244;;;
;0.000245;0.000244;;;
;0.000293;0.000246;;;
;0.000286;0.000244;;;
;0.000253;0.000279;;;
;0.000249;0.000274;;;
;0.000588;0.000269;;;
;0.000583;0.000253;;;
;0.00058;0.000253;;;
;0.000582;0.000246;;;
;0.000583;0.000249;;;
;0.000604;0.000248;;;
;0.000564;0.000276;;;
;0.000583;0.000278;;;
;0.000593;0.00028;;;
;0.000561;0.00045;;;
;0.000927;0.000247;;;
;0.000593;0.000247;;;
;0.000593;0.000282;;;
;0.000609;0.000278;;;
;0.000591;0.000288;;;
;0.000606;0.000244;;;
;0.000613;0.000249;;;
;0.000609;0.000242;;;
;0.000617;0.000246;;;
;0.000611;0.00025;;;
;0.000597;0.000247;;;
;0.000589;0.000282;;;
;0.00029;0.000278;;;
;0.00061;0.000279;;;
;0.000592;0.000243;;;
;0.00061;0.000283;;;
;0.000586;0.000288;;;
;0.000573;0.000279;;;
;0.000565;0.00028;;;
;0.000291;0.000264;;;
;0.000578;0.000246;;;
;0.00025;0.000247;;;
;0.001006;0.000244;;;
;0.004123;0.000247;;;
;0.000609;0.00025;;;
;0.00057;0.000282;;;
;0.00059;0.000272;;;
;0.000251;0.000278;;;
;0.00026;0.000245;;;
;0.000258;0.000284;;;
;0.000264;0.000281;;;
;0.000253;0.000279;;;
;0.000255;0.000324;;;
;0.000261;0.000343;;;
;0.000256;0.000774;;;
;0.000252;0.000236;;;
;0.000256;0.000238;;;
;0.000292;0.000234;;;
;0.000598;0.000238;;;
;0.000582;0.000233;;;
;0.000601;0.000234;;;
;0.000604;0.000241;;;
;0.000593;0.000237;;;
;0.000291;0.000239;;;
;0.000585;0.000238;;;
;0.000584;0.000233;;;
;0.000568;0.000232;;;
;0.000265;0.000246;;;
;0.000541;0.000254;;;
;0.000256;0.000251;;;
;0.000259;0.000243;;;
;0.000255;0.000237;;;
;0.000408;0.000273;;;
;0.00025;0.000278;;;
;0.000255;0.000277;;;
;0.000567;0.000274;;;
;0.000602;0.000278;;;
;0.000258;0.000278;;;
;0.000251;0.000275;;;
;0.000255;0.001566;;;
;0.000259;0.000301;;;
;0.000253;0.000271;;;
;0.000255;0.002689;;;
;0.000251;0.000284;;;
;0.000254;0.000285;;;
;0.000295;0.000291;;;
;0.000298;0.000279;;;
;0.000287;0.000275;;;
;0.000287;0.000279;;;
;0.000286;0.000278;;;
;0.000292;0.000291;;;
;0.00025;0.000298;;;
;0.000253;0.000301;;;
;0.000262;0.000279;;;
;0.000255;0.000286;;;
;0.00025;0.000269;;;
;0.000251;0.00027;;;
;0.000254;0.000283;;;
;0.000284;0.000281;;;
;0.0003;0.000278;;;
;0.000293;0.000271;;;
;0.000288;0.000275;;;
;0.000287;0.000274;;;
;0.000296;0.000276;;;
;0.000297;0.000276;;;
;0.000287;0.000277;;;
;0.000248;0.000269;;;
;0.000313;0.000279;;;
;0.000318;0.000281;;;
;0.000287;0.000274;;;
;0.0003;0.000272;;;
;0.000292;0.000279;;;
;0.000291;0.000282;;;
;0.000286;0.000282;;;
;0.000312;0.000269;;;
;0.000287;0.000266;;;
;0.000293;0.00028;;;
;0.000304;0.000278;;;
;0.000257;0.000274;;;
;0.00025;0.00028;;;
;0.000251;0.000278;;;
;0.000256;0.000277;;;
;0.000257;0.000279;;;
;0.000249;0.000279;;;
;0.00025;0.000432;;;
;0.000287;0.000283;;;
;0.000293;0.000283;;;
;0.000293;0.000274;;;
;0.000285;0.000272;;;
;0.00029;0.000271;;;
;0.000288;0.000274;;;
;0.000296;0.000285;;;
;0.000294;0.000278;;;
;0.000288;0.000279;;;
;0.00029;0.000278;;;
;0.000294;0.000285;;;
;0.000397;0.000283;;;
;0.000363;0.000264;;;
;0.000299;0.000282;;;
;0.000903;0.000283;;;
;0.000308;0.000269;;;
;0.000316;0.000274;;;
;0.000319;0.000272;;;
;0.000311;0.000272;;;
;0.000375;0.000275;;;
;0.000386;0.000266;;;
;0.000384;0.000275;;;
;0.000376;0.000279;;;
;0.000346;0.000274;;;
;0.000302;0.000279;;;
;0.000303;0.000281;;;
;0.000301;0.000273;;;
;0.000312;0.000279;;;
;0.000344;0.000276;;;
;0.000368;0.000274;;;
;0.000328;0.000273;;;
;0.00037;0.000281;;;
;0.000308;0.000278;;;
;0.000298;0.000271;;;
;0.000298;0.00027;;;
;0.000293;0.000269;;;
;0.000302;0.00027;;;
;0.000294;0.00028;;;
;0.000308;0.000274;;;
;0.000302;0.000276;;;
;0.000319;0.000275;;;
;0.000299;0.000288;;;
;0.000309;0.000277;;;
;0.000301;0.000272;;;
;0.000294;0.000256;;;
;0.000295;0.00027;;;
;0.00041;0.000276;;;
;0.000375;0.000274;;;
;0.000373;0.000278;;;
;0.000379;0.000279;;;
;0.001761;0.000279;;;
;0.003202;0.000282;;;
;0.000398;0.000267;;;
;0.00038;0.000275;;;
;0.000379;0.000267;;;
;0.000389;0.000277;;;
;0.000377;0.000285;;;
;0.000381;0.00028;;;
;0.00038;0.000275;;;
;0.000381;0.000285;;;
;0.000384;0.000284;;;
;0.000402;0.000268;;;
;0.000385;0.000279;;;
;0.000389;0.000279;;;
;0.000384;0.000285;;;
;0.000386;0.000267;;;
;0.000381;0.000277;;;
;0.000383;0.000285;;;
;0.00038;0.000273;;;
;0.000384;0.000274;;;
;0.000369;0.000288;;;
;0.000389;0.000286;;;
;0.000402;0.000277;;;
;0.000389;0.000281;;;
;0.000378;0.00028;;;
;0.000375;0.000276;;;
;0.000387;0.000274;;;
;0.00038;0.000281;;;
;0.000377;0.000272;;;
;0.000381;0.000278;;;
;0.000382;0.000278;;;
;0.000496;0.000266;;;
;0.000372;0.000281;;;
;0.000336;0.000273;;;
;0.000289;0.000297;;;
;0.000289;0.000278;;;
;0.000295;0.00029;;;
;0.000295;0.000307;;;
;0.000289;0.000287;;;
;0.000291;0.000283;;;
;0.000294;0.000341;;;
;0.000292;0.00034;;;
;0.000287;0.000778;;;
;0.000311;0.000272;;;
;0.000287;0.000271;;;
;0.000282;0.000287;;;
;0.000296;0.000275;;;
;0.000296;0.000272;;;
;0.000286;0.000272;;;
;0.000295;0.000269;;;
;0.000293;0.000276;;;
;0.000286;0.000297;;;
;0.000297;0.000269;;;
;0.000315;0.00027;;;
;0.000298;0.000272;;;
;0.000295;0.000276;;;
;0.000299;0.000269;;;
;0.00029;0.000276;;;
;0.000284;0.000275;;;
;0.000294;0.000277;;;
;0.000295;0.000282;;;
;0.000294;0.000272;;;
;0.000284;0.000272;;;
;0.000291;0.000273;;;
;0.000288;0.001588;;;
;0.000292;0.000313;;;
;0.000289;0.000287;;;
;0.000292;0.002754;;;
;0.000297;0.000286;;;
;0.000306;0.000287;;;
;0.000286;0.000271;;;
;0.000296;0.000273;;;
;0.000294;0.000278;;;
;0.000289;0.000275;;;
;0.000292;0.000291;;;
;0.000295;0.000278;;;
;0.000293;0.000306;;;
;0.000294;0.000285;;;
;0.000297;0.000295;;;
;0.000295;0.000274;;;
;0.000284;0.000275;;;
;0.000292;0.000279;;;
;0.000299;0.000283;;;
;0.000287;0.000277;;;
;0.00029;0.000283;;;
;0.000287;0.000279;;;
;0.000295;0.000286;;;
;0.000287;0.000275;;;
;0.000285;0.000293;;;
;0.000295;0.000283;;;
;0.000294;0.000266;;;
;0.000288;0.000277;;;
;0.000294;0.000285;;;
;0.000294;0.000283;;;
;0.000287;0.000278;;;
;0.000291;0.000269;;;
;0.000305;0.000284;;;
;0.000292;0.000288;;;
;0.000295;0.000278;;;
;0.0003;0.000279;;;
;0.00097;0.000282;;;
;0.000332;0.000284;;;
;0.00029;0.000298;;;
;0.000307;0.000272;;;
;0.000301;0.000275;;;
;0.000295;0.000283;;;
;0.000304;0.000284;;;
;0.000312;0.000275;;;
;0.000307;0.000436;;;
;0.000302;0.000278;;;
;0.000309;0.000276;;;
;0.000308;0.000273;;;
